'cfullname','cshortname','efullname','eshortname','id','delflag'
'深圳市开成兴业科技有限公司','开成兴业','','','9725','0'
'漯河市天河针织有限公司','天河针织','','','10562','0'
'深圳市经典好年商贸有限公司','经典好年','SHENZHEN CLASSIC VINTAGE BUSINESS CO.,LTD.','','10607','0'
'深圳市云客科技开发有限公司','云客科技','   -','','9723','0'
'深圳市顺昌龙商砼服务有限公司','顺昌龙','Shenzhen shishunchanglongshangtongfuwu co，ltd','','9724','0'
'郴州市强旺新金属材料有限公司','郴州强旺','','','25633','0'
'广西智兴农牧发展有限公司','智兴农牧','','','25634','0'
'厦门多齐电线电缆有限公司','多齐电缆','','','25662','0'
'厦门晟思科技有限公司','晟思科技','','','25747','0'
'上犹坤和新型建材有限公司','坤和建材','','','25824','0'
'深圳市博明瀚电子有限公司','博明瀚','','','25980','0'
'武夷山东方丹霞茶业有限公司','东方丹霞','','','26269','0'
'洛阳市飞虹祥矿业有限公司','飞虹祥','','','26455','0'
'深圳市吉宏泰实业有限公司','吉宏泰','','','26458','0'
'深圳市博燊集团有限公司','博燊集团','','','27897','0'
'厦门麒鸿商贸有限公司','麒鸿商贸','','','27898','0'
'深圳市科伦特科技有限公司','CLT','','','10306','0'
'深圳粤商国际投资有限公司','粤商国际','','','14790','0'
'广元天湟山核桃食品有限公司','森湟核桃','GUANGYUAN TIANHUANG SHUI RIVER PECAN FOOD LTD','','14854','0'
'厦门市百华阳进出口有限公司','百华阳','','','28054','0'
'广州自由自在品牌管理有限公司','自由自在','','','28055','0'
'深圳市艾维塔科技有限公司','艾维塔','','','28056','0'
'厦门鑫远志系统集成有限公司','鑫远志','','','28059','0'
'贵州省黎平县珍禽生态养殖有限公司','黎平珍禽','','','10587','0'
'青州晨盛沥青有限公司','晨盛沥青','','','10588','0'
'深大宇电器（深圳）有限公司','深大宇','SHEN DAEWOOD ELECTRIC(SHENZHEN)CO.,LTD.','','10589','0'
'十堰一诺瑞特工贸有限责任公司','十堰一诺瑞特工贸有限责任公司','','','15211','0'
'江西和发陶瓷有限公司','江西和发陶瓷有限公司','','','15212','0'
'中山市康旺电器科技有限公司','康旺电器','','','15213','0'
'河北蒙晋焦炭贸易有限公司','河北蒙晋','','','15216','0'
'聚豪塑胶制品（惠州）有限公司','聚豪塑胶','','','28325','0'
'云浮市永文石材有限公司','永文石材','','','28327','0'
'佳木斯丰谷酒业有限公司','丰谷酒业','','','28333','0'
'深圳市远望数码商城市场管理有限公司','远望','','','28768','0'
'济宁市鲁鑫粮食经营有限公司','鲁鑫粮食','','','28769','0'
'广东爱迪服饰有限公司','广东爱迪','Guangdong Aidi Garments Co. , Ltd','','29474','0'
'东莞市南通玻璃制品有限公司','南通玻璃','','','29479','0'
'厦门俊海供应链管理有限公司','厦门俊海','','','29483','0'
'中山市丰源轩餐饮管理有限公司','丰源轩','','','11477','0'
'郑州若宇服饰有限公司','若宇服饰','','','29528','0'
'山东昊宇科技股份有限公司','昊宇科技','','','29734','0'
'深圳市碧芙文化发展有限公司','碧芙文化','','','11659','0'
'云南省玉溪市甜馨食品有限责任公司','甜馨食品','','','16864','0'
'诸城市惠林精密机械有限公司','惠林精机','','','29857','0'
'峨眉山佳洁纸制品有限责任公司','佳洁制品','','','29861','0'
'山东鑫昊精密机械股份有限公司','山东鑫昊','','','29864','0'
'厦门巨创科技有限公司','巨创科技','','','29867','0'
'遵义市新雪域置业有限公司','新雪域','','','29881','0'
'湖北锐谷机械制造有限公司','湖北锐谷','','','29884','0'
'深圳市奔能佳电子有限公司','奔能佳','','','11934','0'
'深圳市兴银河网架工程有限公司','兴银河','','','11935','0'
'深圳市港德新能源发电开发有限公司','港德','','','16954','0'
'东莞市祺龙电业有限公司','祺龙电业','','','16958','0'
'乐山光丽农产品贸易有限责任公司','乐山光丽','','','29913','0'
'湖南金大地材料股份有限公司','金大地','','','12275','0'
'深圳市创捷科技有限公司','创捷科技','SJET Technology CO., LTD.','','12276','0'
'荥阳市凯丰包装材料有限公司','凯丰包装','','','30314','0'
'河南东起机械有限公司','河南东起','','','30316','0'
'深圳市海大装饰集团有限公司','海大装饰集团','','','30317','0'
'福建龙岩梅花山矿泉水有限公司','梅花山','','','30318','0'
'内蒙古中杰石材投资有限公司','内蒙中杰','','','17393','0'
'新疆西部节水科技股份有限公司','西部节水','Xin Jiang Western Water Conservation Technology CO.LTD','','12372','0'
'深圳鸿毅家俱制造有限公司','鸿毅家俱','SHENZHEN HONGYI FURNITURE MAKING CO.,Ltd','','12373','0'
'永兴县华鑫铅锡有限责任公司','永兴华鑫','','','17508','0'
'鹤山市国民小额贷款有限公司','国民小额','','','17513','0'
'深圳市肯特科技有限公司','肯特科技','','','30393','0'
'深圳市中际建设工程有限公司','中际建设','','','30398','0'
'湖南海晟微生物新能源科技有限公司','海晟科技','','','30400','0'
'东莞市鼎杰实业有限公司','鼎杰实业','','','12446','0'
'安徽新荣久农业科技有限公司','新荣久','','','17616','0'
'揭阳市志发工贸有限公司','志发工贸','','','30460','0'
'广东润佳肠衣有限公司','润佳肠衣','','','30461','0'
'深圳市诚爱网络科技有限公司','诚爱网络','','','30469','0'
'赣州市锦泰实业发展有限公司','锦泰实业','','','12612','0'
'惠州市雨露明农业发展有限公司','惠州雨露','','','17816','0'
'中山市沙溪镇广源红家具厂','广源红家具','','','30706','0'
'濮阳市舒舒电子有限公司','舒舒电子','','','30885','0'
'江苏欧美钢结构幕墙科技有限公司','钢结构','','','30890','0'
'深圳市煜达互联网金融服务股份有限公司','煜达互联','','','30893','0'
'广州市博润文化传播有限公司','博润传播','','','31086','0'
'湖南立发釉彩科技有限公司','湖南立发','','','31091','0'
'深圳市凯涛贸易有限公司','深圳市凯涛贸易有限公司','','','18295','0'
'山东华顺稀有金属有限公司','山东华顺','','','31193','0'
'广州市信和电信发展有限公司','信和电信','','','31201','0'
'宁波亿星婴童用品有限公司','亿星婴童','','','31285','0'
'沭阳县智源缘园林绿化工程股份有限公司','智源缘','','','31287','0'
'龙岩市鹏程混凝土有限公司','龙岩市鹏程混凝土有限公司','','','31406','0'
'深圳市华讯创智科技有限公司','华讯创智','','','31410','0'
'唐山天达建材有限公司','天达建材','','','31414','0'
'佛山市新环隆印染有限公司','新环隆','','','31415','0'
'广东易通网络科技有限公司','广东易通','','','18509','0'
'深圳市永威实业有限公司','深圳市永威实业有限公司','','','18510','0'
'河南博施盾网络技术有限公司 ','博施盾','','','31432','0'
'东莞市鸿展纸品有限公司','鸿展纸品','','','18612','0'
'深圳市丰图电梯工程有限公司','丰图电梯','','','18909','0'
'广州乙立贸易有限公司','乙立贸易','','','31837','0'
'深圳市西谷制冷设备有限公司','西谷制冷','Shenzhen Saycold Refrigeration Equipment CO.,LTD ','','31840','0'
'河南穆龙文化传媒有限公司','穆龙传媒','','','31841','0'
'深圳市朗英科技开发有限公司','朗英科技','Shenzhen Royal Technology Development Co.,LTD','','31845','0'
'云南迪蒙汽车销售服务有限公司','云南迪蒙','','','32108','0'
'江西南欣家具有限公司','江西南欣','','','19336','0'
'广州合荣实业有限公司','合荣实业','','','32328','0'
'广州市嘉粤建材实业有限公司','嘉粤建材','','','32331','0'
'厦门伯克斯流体控制设备有限公司','伯克斯','','','32624','0'
'赣州新盛达实业有限公司','新盛达','','','21629','0'
'重庆吉泰建设（集团）有限公司','吉泰建设','','','33194','0'
'深圳市中审建业工程咨询有限公司','中审建业','','','33197','0'
'深圳市荣灿财税咨询有限公司','荣灿财税','','','33198','0'
'东莞市世纪豪庭酒店有限公司','世纪豪庭','','','14349','0'
'惠州市宏亚金属处理有限公司','宏亚金属','','','21674','0'
'广州市烨阳贸易有限公司','烨阳公司','','','21675','0'
'赣州金盘农业开发有限公司','金盘农业','','','21676','0'
'深圳市本汇宝科技有限公司','本汇宝','','','33230','0'
'河南许丰种业有限公司','许丰种业','','','33234','0'
'河南嵩源文化旅游发展有限公司','嵩源文化','','','33241','0'
'河南润雨服装有限公司','润雨服装','','','14387','0'
'新平鲁奎山水泥有限责任公司','鲁奎山','','','21693','0'
'云南通变电线电缆有限公司','通变电线','','','21694','0'
'云南易门华盛瓷业有限公司','华盛瓷业','','','21695','0'
'湖南森艺家具有限公司','森艺家具','','','33261','0'
'深圳雅赛伦珠宝有限公司','雅赛伦','','','33270','0'
'云南民生昭通天麻商贸有限公司','民生昭通','','','33273','0'
'厦门市燕华楠工贸发展有限公司','燕华楠','','','33277','0'
'赣州市德龙投资有限公司','德龙投资','','','21792','0'
'四川省吉粮经贸有限责任公司','吉粮公司','','','33398','0'
'邢台中科生物质发电有限公司','邢台生物','','','33399','0'
'深圳市柏华置业投资发展有限公司','柏华置业','','','14728','0'
'大余章源生态旅游有限公司','章源生态','','','22022','0'
'山东琴岛律师事务所','山东琴岛','','','22023','0'
'广州市战略家企业管理咨询有限公司','战略家','','','22024','0'
'丰城市美尚韩贸易有限公司','美尚韩贸','','','22025','0'
'赣州三进特种漆包线有限公司','三进科技','Ganzhou  Sunjinn  Special  Enamelled  Wire  Co., Ltd.','','14847','0'
'赣州雅典装饰工程有限公司','雅典装饰','','','22087','0'
'赣州福鑫财实业有限公司','福鑫财','','','22088','0'
'大余安奕工贸有限公司','大余安奕','','','22150','0'
'潍坊田禾农贸市场开发经营有限公司','田禾农贸','','','33582','0'
'四川一点味餐饮股份有限公司','一点味','','','15041','0'
'赣州佳达贸易有限公司','赣州佳达贸易有限公司','','','15042','0'
'长汀县美欧食品有限公司','美欧食品','','','15044','0'
'湖南东岱信息服务有限公司','东岱','','','33723','0'
'深圳红市专业市场营销策划有限公司','红市','','','33728','0'
'北京銮凤国际文化发展有限公司','銮凤国际','','','15243','0'
'深圳市奥斯达新材料有限公司','奥斯达','','','33902','0'
'云城区奥文石材销售部','奥文石材','','','33911','0'
'深圳市金缘诚环保科技有限公司','深圳市金缘诚环保科技有限公司','','','22873','0'
'广州市南山物业经营管理有限公司','南山物业','','','34478','0'
'东莞市南辉制衣有限公司','南辉制衣','','','34489','0'
'深圳市残友物联网技术有限公司','残友物联网','','','34490','0'
'融易（北京）金融服务外包有限公司','融易金融','','','34657','0'
'河南银达铝业有限公司','银达铝业','','','34665','0'
'厦门鼎霖市政园林工程有限公司','鼎霖市政','','','23239','0'
'厦门市质子工贸有限公司','质子工贸','','','23559','0'
'厦门市易事软件开发有限公司','易事软件','','','23560','0'
'厦门致力金刚石科技股份有限公司','金刚石','','','23561','0'
'厦门德盛机电设备有限公司','德盛机电','','','23562','0'
'厦门国驰进出口有限公司','厦门国驰','XIAMEN WAYGO IMPORT&EXPORT CO.,LTD','','23563','0'
'联兴达（厦门）工贸有限公司','联兴达','','','23564','0'
'深圳市爱因斯坦科技有限公司','爱因斯坦科技','','','35457','0'
'深圳市润鑫隆船舶物资供应有限公司','深圳润鑫隆','Shenzhen Run Xin Long Marine Supplies Co., Ltd.','','35459','0'
'深圳市观天下数字科技发展有限公司','观天下数字科技','','','35463','0'
'厦门锦鑫园工贸有限公司','锦鑫园','','','23696','0'
'厦门假日海湾商务管理有限公司','假日商务','','','23697','0'
'厦门心游天地商务服务有限公司','心游天地','','','23698','0'
'厦门顶拓矿山机械有限公司','顶拓矿山','','','23699','0'
'厦门市裕致五金制品有限公司','裕致五金','','','23700','0'
'富尔泰（福建）实业有限公司','富尔泰','','','23701','0'
'湖北新鑫压力容器制造有限公司','新鑫压力','','','35680','0'
'广州华琳食品有限公司','华琳食品','','','35682','0'
'深圳市拓安信计控仪表有限公司','拓安信','','','16942','0'
'黑龙江省天宝房地产开发有限公司','天宝集团','','','16943','0'
'厦门昊铭网络技术有限公司','昊铭网络','','','23823','0'
'厦门圣洋水产有限公司','圣洋','','','23824','0'
'厦门宝祥瑞金属材料有限公司','宝祥瑞','','','23825','0'
'厦门桑田照明有限公司','桑田照明','','','23826','0'
'厦门沃虎文化传媒有限公司','沃虎传媒','','','23827','0'
'厦门智威信息集团有限公司','智威集团','','','23828','0'
'厦门塞巴赫文化传媒有限公司','塞巴赫文体教育','Xiamen Cerbacher Cultural CO.,LTD','','35861','0'
'深圳市盛天地科技有限公司','盛天地科技','','','35865','0'
'厦门市创凌包装设备有限公司','厦门创凌','','','23837','0'
'厦门光宇光电科技有限公司','光宇光电','','','23838','0'
'昆明红云精彩印务有限公司','红云精彩','','','35876','0'
'康宸电子科技（厦门）有限公司','康宸电子','','','35886','0'
'厦门帝翔实业有限公司','帝翔实业','','','24101','0'
'厦门市鑫晋祥进出口有限公司','鑫晋祥','Xiamen Xinjinxiang Import & Export Co.，Ltd','','24102','0'
'宁德市逸涛房地产开发有限公司','宁德逸涛','','','24103','0'
'厦门蓝火焰影视动漫有限公司','蓝火焰','','','24104','0'
'漳州市顺通路桥建设有限公司','顺通路桥','','','24106','0'
'十堰爱灵松石珠宝有限公司','爱灵松石','','','17483','0'
'深圳市宝峰鼎泰投资顾问有限公司','宝峰鼎泰','','','36371','0'
'深圳市中冷空调设备工程有限公司','中冷空调设备','','','36372','0'
'河北东华冀衡精细化工有限公司','东华冀衡','','','36373','0'
'北京冠龙股权投资基金管理有限公司','冠龙基金','','','36374','0'
'福宇通（厦门）电气设备有限公司','福宇通','','','36375','0'
'新会区会城乾盛家具厂','乾盛家具','','','24906','0'
'江门市宏森古典家具有限公司','宏森古典家具','','','24910','0'
'广东皇灏互联网信息科技有限公司','皇灏互联网','','','36566','0'
'衡阳虹天食品添加剂有限公司','衡阳虹天','','','25066','0'
'湖北西部现代农业有限公司','西部现代','','','25070','0'
'江苏鸿润玻璃科技有限公司','鸿润玻璃','','','25076','0'
'珠海市中创生物科技有限公司','中创生物','','','25078','0'
'隆林县沙梨河水电站(普通合伙企业)','沙梨河水电站','','','36699','0'
'深圳前海苏敏科技股份有限公司','苏敏科技','','','36700','0'
'泉州市湖景大酒店有限责任公司','湖景大酒店','','','36712','0'
'厦门谊达家具工贸有限公司','谊达家具','','','26083','0'
'广州市元商汽车配件有限公司','元商汽配','','','26085','0'
'深圳市诺贝笔翻译有限公司','诺贝笔','','','26089','0'
'深圳市超优越电子技术有限公司','超优越','','','26251','0'
'北海生巴达生物科技有限公司','生巴达','Beihai Green Power Bio Science Technology Co.,Ltd','','19150','0'
'江西维平创业家具实业有限公司','维平创业','','','19362','0'
'深圳童禧文化传播有限公司','童禧文化','','','27846','0'
'深圳市河丰源食品有限公司','河丰源','','','27962','0'
'广东中铁物资有限公司','中铁物资','','','21604','0'
'赣州市金峰高分子环保材料科技有限公司','金峰环保','','','21605','0'
'广州市丰豪实业发展有限公司','丰豪实业','','','28343','0'
'湖南同年幕墙装饰有限公司','同年幕墙','','','21915','0'
'易门云铸工贸有限公司','云铸工贸','','','21925','0'
'昆明佰旺食品有限公司','佰旺食品','','','28494','0'
'广州市福怡汽车配件精品市场福隆汽车用品商行','福隆汽配','','','28498','0'
'厦门市山博冠军建材有限公司','山博冠军','','','28502','0'
